stamp_time,count(tstep)
"2019-06-01 10:06:00",12
"2019-06-01 10:36:02",12
"2019-06-01 10:56:03",12
"2019-06-01 11:36:06",12
"2019-06-01 12:06:11",12
"2019-06-01 12:56:19",12
"2019-06-01 13:16:20",12
"2019-06-01 13:46:23",12
"2019-06-01 15:36:57",12
"2019-06-01 15:56:58",12
"2019-06-01 16:07:00",12
"2019-06-01 16:37:05",12
"2019-06-01 16:57:10",12
"2019-06-01 17:27:13",12
"2019-06-01 18:07:16",12
"2019-06-01 18:17:17",12
"2019-06-01 19:07:26",12
"2019-06-01 19:37:28",12
"2019-06-01 20:07:30",12
"2019-06-01 20:27:34",12
"2019-06-01 20:37:35",12
"2019-06-01 20:57:36",12
"2019-06-01 21:27:41",12
"2019-06-01 21:47:42",12
"2019-06-01 22:07:43",12
"2019-06-01 22:37:45",12
"2019-06-01 22:57:46",12
"2019-06-01 23:17:47",12
"2019-06-02 00:07:53",12
"2019-06-02 00:17:54",12
"2019-06-02 00:37:55",12
"2019-06-02 00:57:56",12
"2019-06-02 01:07:57",12
"2019-06-02 01:27:58",12
"2019-06-02 01:47:59",12
"2019-06-02 01:58:00",12
"2019-06-02 02:18:01",12
"2019-06-02 02:48:03",12
"2019-06-02 03:08:04",12
"2019-06-02 03:28:05",12
"2019-06-02 03:58:07",12
"2019-06-02 04:28:12",12
"2019-06-02 04:48:13",12
"2019-06-02 04:58:14",12
"2019-06-02 05:18:15",12
"2019-06-02 05:38:16",12
"2019-06-02 06:08:18",12
"2019-06-02 06:38:20",12
"2019-06-02 06:58:21",12
"2019-06-02 07:28:26",12
"2019-06-02 07:48:27",12
"2019-06-02 08:08:28",12
"2019-06-02 08:18:29",12
"2019-06-02 08:38:30",12
"2019-06-02 09:08:32",12
"2019-06-02 09:28:33",12
"2019-06-02 09:58:35",12
"2019-06-02 10:18:36",12
"2019-06-02 10:48:38",12
"2019-06-02 11:08:39",12
"2019-06-02 11:28:40",12
"2019-06-02 11:38:41",12
"2019-06-02 12:18:46",12
"2019-06-02 12:28:47",12
"2019-06-02 12:48:48",12
"2019-06-02 13:08:49",12
"2019-06-02 13:18:50",12
"2019-06-02 13:38:51",12
"2019-06-02 13:48:52",12
"2019-06-02 14:08:53",12
"2019-06-02 14:28:57",12
"2019-06-02 14:38:58",12
"2019-06-02 14:58:59",12
"2019-06-02 15:29:02",12
"2019-06-02 15:59:04",12
"2019-06-02 16:19:05",12
"2019-06-02 16:29:06",12
"2019-06-02 16:49:07",12
"2019-06-02 17:09:08",12
"2019-06-02 17:19:09",12
"2019-06-02 17:39:10",12
"2019-06-02 18:09:12",12
"2019-06-02 18:29:13",12
"2019-06-02 18:39:14",12
"2019-06-02 18:59:15",12
"2019-06-02 19:19:16",12
"2019-06-02 19:29:17",12
"2019-06-02 19:49:18",12
"2019-06-02 19:59:19",12
"2019-06-02 20:19:20",12
"2019-06-02 20:39:21",12
"2019-06-02 20:59:22",12
"2019-06-02 21:09:23",12
"2019-06-02 21:29:24",12
"2019-06-02 21:49:28",12
"2019-06-02 22:19:30",12
"2019-06-02 22:39:31",12
"2019-06-02 22:49:32",12
"2019-06-02 23:09:33",12
"2019-06-02 23:29:34",12
"2019-06-02 23:59:36",12
"2019-06-03 00:19:37",12
"2019-06-03 00:39:38",12
"2019-06-03 00:49:39",12
"2019-06-03 01:09:40",12
"2019-06-03 01:29:41",12
"2019-06-03 01:49:42",12
"2019-06-03 01:59:43",12
"2019-06-03 02:39:48",12
"2019-06-03 02:49:49",12
"2019-06-03 03:09:50",12
"2019-06-03 03:29:51",12
"2019-06-03 03:49:52",12
"2019-06-03 04:19:54",12
"2019-06-03 04:29:55",12
"2019-06-03 04:39:55",12
"2019-06-03 04:59:56",12
"2019-06-03 05:19:57",12
"2019-06-03 05:29:58",12
"2019-06-03 05:49:59",12
"2019-06-03 06:10:00",12
"2019-06-03 06:30:01",12
"2019-06-03 06:40:02",12
"2019-06-03 07:00:03",12
"2019-06-03 07:20:04",12
"2019-06-03 07:40:05",12
"2019-06-03 08:20:11",12
"2019-06-03 08:40:12",12
"2019-06-03 09:30:25",12
"2019-06-03 09:50:26",12
"2019-06-03 10:40:36",12
"2019-06-03 11:50:56",12
"2019-06-03 12:10:57",12
"2019-06-03 13:01:05",12
"2019-06-03 14:01:18",12
"2019-06-04 11:20:04",12
"2019-06-04 11:30:06",12
"2019-06-04 12:00:08",12
"2019-06-04 13:20:23",12
"2019-06-04 13:30:24",12
"2019-06-04 13:50:25",12
"2019-06-04 14:00:26",12
"2019-06-04 15:52:27",12
"2019-06-04 17:12:45",12
"2019-06-04 17:42:51",12
"2019-06-04 18:22:56",12
"2019-06-04 18:52:58",12
"2019-06-04 19:12:59",12
"2019-06-04 19:23:00",12
"2019-06-04 19:43:01",12
"2019-06-04 20:23:04",12
"2019-06-04 20:53:06",12
"2019-06-04 21:13:07",12
"2019-06-04 21:43:09",12
"2019-06-04 22:03:15",12
"2019-06-04 22:33:17",12
"2019-06-04 22:53:18",12
"2019-06-04 23:33:42",12
"2019-06-05 00:33:49",12
"2019-06-05 01:03:51",12
"2019-06-05 01:33:53",12
"2019-06-05 15:47:55",12
"2019-06-05 15:57:56",12
"2019-06-05 16:17:57",12
"2019-06-05 17:08:10",12
"2019-06-05 17:38:16",12
"2019-06-05 18:08:25",12
"2019-06-05 18:38:27",12
"2019-06-05 18:58:28",12
"2019-06-05 19:08:29",12
"2019-06-05 20:18:37",12
"2019-06-05 20:48:39",12
"2019-06-05 21:18:41",12
"2019-06-05 21:38:42",12
"2019-06-05 21:48:43",12
"2019-06-05 22:08:44",12
"2019-06-05 22:38:46",12
"2019-06-05 23:08:48",12
"2019-06-05 23:48:51",12
"2019-06-06 00:18:53",12
"2019-06-06 00:48:55",12
"2019-06-06 01:08:56",12
"2019-06-06 01:18:57",12
"2019-06-06 01:48:59",12
"2019-06-06 02:19:01",12
"2019-06-06 02:49:03",12
"2019-06-06 03:19:05",12
"2019-06-06 03:39:06",12
"2019-06-06 04:09:11",12
"2019-06-06 04:39:13",12
"2019-06-06 04:59:14",12
"2019-06-06 05:09:15",12
"2019-06-06 05:29:16",12
"2019-06-06 05:59:18",12
"2019-06-06 06:19:19",12
"2019-06-06 06:29:20",12
"2019-06-06 06:59:25",12
"2019-06-06 07:29:27",12
"2019-06-06 07:59:29",12
"2019-06-06 08:29:34",12
"2019-06-06 08:39:35",12
"2019-06-06 08:59:36",12
"2019-06-06 09:09:37",12
"2019-06-06 09:39:39",12
"2019-06-06 09:59:40",12
"2019-06-06 10:09:41",12
"2019-06-06 10:39:43",12
"2019-06-06 10:49:44",12
"2019-06-06 11:19:46",12
"2019-06-06 11:49:48",12
"2019-06-06 12:29:52",12
"2019-06-06 13:40:17",12
"2019-06-06 14:20:20",12
"2019-06-06 15:10:29",12
"2019-06-06 15:20:30",12
"2019-06-06 16:00:38",12
"2019-06-06 16:20:48",12
"2019-06-06 16:50:52",12
"2019-06-06 17:30:55",12
"2019-06-06 17:40:56",12
"2019-06-06 18:10:58",12
"2019-06-06 18:20:59",12
"2019-06-06 18:41:00",12
"2019-06-06 18:51:01",12
"2019-06-06 19:21:03",12
"2019-06-06 19:51:05",12
"2019-06-06 20:21:07",12
"2019-06-06 20:41:09",12
"2019-06-06 20:51:09",12
"2019-06-06 21:21:11",12
"2019-06-06 21:51:13",12
"2019-06-06 22:11:14",12
"2019-06-06 22:41:16",12
"2019-06-06 22:51:17",12
"2019-06-06 23:11:18",12
"2019-06-06 23:31:19",12
"2019-06-06 23:41:20",12
"2019-06-07 00:01:21",12
"2019-06-07 00:11:22",12
"2019-06-07 00:41:24",12
"2019-06-07 01:11:26",12
"2019-06-07 01:41:28",12
"2019-06-07 02:21:31",12
"2019-06-07 03:01:34",12
"2019-06-07 03:11:35",12
"2019-06-07 03:41:37",12
"2019-06-07 04:01:38",12
"2019-06-07 04:11:39",12
"2019-06-07 04:31:40",12
"2019-06-07 04:41:41",12
"2019-06-07 05:11:43",12
"2019-06-07 05:41:45",12
"2019-06-07 06:11:47",12
"2019-06-07 06:41:49",12
"2019-06-07 07:11:51",12
"2019-06-07 07:41:53",12
"2019-06-07 08:11:55",12
"2019-06-07 08:31:56",12
"2019-06-07 08:41:57",12
"2019-06-07 09:11:59",12
"2019-06-07 09:32:00",12
"2019-06-07 09:42:01",12
"2019-06-07 10:22:12",12
"2019-06-07 10:42:14",12
"2019-06-07 10:52:15",12
"2019-06-07 11:42:25",12
"2019-06-07 11:52:26",12
"2019-06-07 12:02:27",12
"2019-06-07 12:42:33",12
"2019-06-07 12:52:34",12
"2019-06-07 14:23:10",12
"2019-06-07 14:53:12",12
"2019-06-07 17:44:58",12
"2019-06-07 18:15:13",12
"2019-06-07 18:45:19",12
"2019-06-07 19:25:28",12
"2019-06-07 19:35:29",12
"2019-06-07 20:05:31",12
"2019-06-07 20:35:33",12
"2019-06-07 20:45:34",12
"2019-06-07 21:35:38",12
"2019-06-07 22:05:40",12
"2019-06-07 22:25:41",12
"2019-06-07 22:35:42",12
"2019-06-07 23:05:48",12
"2019-06-07 23:15:49",12
"2019-06-07 23:45:51",12
"2019-06-07 23:55:52",12
"2019-06-08 00:25:54",12
"2019-06-08 00:55:56",12
"2019-06-08 01:25:58",12
"2019-06-08 01:46:00",12
"2019-06-08 01:56:00",12
"2019-06-08 02:26:02",12
"2019-06-08 02:56:04",12
"2019-06-08 03:06:05",12
"2019-06-08 03:36:07",12
"2019-06-08 03:56:08",12
"2019-06-08 04:06:09",12
"2019-06-08 04:36:11",12
"2019-06-08 04:46:12",12
"2019-06-08 05:36:16",12
"2019-06-08 06:06:18",12
"2019-06-08 06:16:19",12
"2019-06-08 06:56:22",12
"2019-06-08 07:06:23",12
"2019-06-08 07:26:24",12
"2019-06-08 07:36:25",12
"2019-06-08 08:16:28",12
"2019-06-08 08:26:29",12
"2019-06-08 08:56:31",12
"2019-06-08 09:26:33",12
"2019-06-08 09:56:35",12
"2019-06-08 11:06:43",12
"2019-06-08 11:56:52",12
"2019-06-08 12:26:54",12
"2019-06-08 13:07:09",12
"2019-06-08 16:38:23",12
"2019-06-08 16:59:19",12
"2019-06-08 17:09:20",12
"2019-06-08 17:39:23",12
"2019-06-08 18:19:26",12
"2019-06-08 19:29:48",12
"2019-06-08 19:59:50",12
"2019-06-08 20:19:51",12
"2019-06-08 20:29:52",12
"2019-06-08 20:49:53",12
"2019-06-08 20:59:54",12
"2019-06-08 21:19:56",12
"2019-06-08 21:49:58",12
"2019-06-08 21:59:59",12
"2019-06-08 22:20:00",12
"2019-06-08 22:30:01",12
"2019-06-08 23:00:03",12
"2019-06-08 23:30:11",12
"2019-06-09 00:00:13",12
"2019-06-09 01:01:17",12
"2019-06-09 01:11:18",12
"2019-06-09 01:31:19",12
"2019-06-09 02:31:28",12
"2019-06-09 03:01:30",12
"2019-06-09 03:31:32",12
"2019-06-09 03:41:33",12
"2019-06-09 04:31:38",12
"2019-06-09 05:01:41",12
"2019-06-09 05:11:42",12
"2019-06-09 05:51:45",12
"2019-06-09 06:31:48",12
"2019-06-09 07:11:51",12
"2019-06-09 07:21:52",12
"2019-06-09 07:51:54",12
"2019-06-09 08:21:56",12
"2019-06-09 09:01:59",12
"2019-06-09 09:42:02",12
"2019-06-09 10:12:04",12
"2019-06-09 10:52:07",12
"2019-06-09 11:22:14",12
"2019-06-09 11:32:15",12
"2019-06-09 12:32:23",12
"2019-06-09 13:12:29",12
"2019-06-09 13:22:30",12
"2019-06-09 14:12:34",12
"2019-06-09 15:12:50",12
"2019-06-09 15:52:53",12
"2019-06-09 18:34:28",12
"2019-06-09 18:44:29",12
"2019-06-09 19:14:31",12
"2019-06-09 19:54:34",12
"2019-06-09 20:24:36",12
"2019-06-09 20:54:38",12
"2019-06-09 21:24:40",12
"2019-06-09 21:54:42",12
"2019-06-09 22:34:45",12
"2019-06-09 23:04:47",12
"2019-06-09 23:34:49",12
"2019-06-10 00:14:52",12
"2019-06-10 00:34:53",12
"2019-06-10 00:44:54",12
"2019-06-10 01:14:56",12
"2019-06-10 01:24:57",12
"2019-06-10 01:54:59",12
"2019-06-10 02:05:00",12
"2019-06-10 02:35:02",12
"2019-06-10 02:45:03",12
"2019-06-10 03:25:06",12
"2019-06-10 03:35:07",12
"2019-06-10 03:45:08",12
"2019-06-10 04:25:11",12
"2019-06-10 04:35:12",12
"2019-06-10 05:05:14",12
"2019-06-10 05:35:17",12
"2019-06-10 05:55:18",12
"2019-06-10 06:05:18",12
"2019-06-10 06:45:21",12
"2019-06-10 06:55:22",12
"2019-06-10 07:25:24",12
"2019-06-10 07:35:25",12
"2019-06-10 07:55:26",12
"2019-06-10 08:05:27",12
"2019-06-10 08:25:28",12
"2019-06-10 08:45:29",12
"2019-06-10 08:55:30",12
"2019-06-10 09:45:37",12
"2019-06-10 10:15:43",12
"2019-06-10 11:35:53",12
"2019-06-10 12:36:16",12
"2019-06-10 13:56:58",12
"2019-06-10 14:37:10",12
"2019-06-10 14:47:12",12
"2019-06-10 15:37:18",12
"2019-06-10 16:17:21",12
"2019-06-10 16:47:23",12
"2019-06-10 17:37:34",12
"2019-06-10 17:47:35",12
"2019-06-10 18:27:39",12
"2019-06-10 19:17:44",12
"2019-06-10 19:37:46",12
"2019-06-10 19:47:47",12
"2019-06-10 20:07:48",12
"2019-06-10 20:47:51",12
"2019-06-10 21:27:54",12
"2019-06-10 22:07:57",12
"2019-06-10 22:37:59",12
"2019-06-10 23:18:02",12
"2019-06-10 23:48:04",12
"2019-06-10 23:58:05",12
"2019-06-11 00:59:09",12
"2019-06-11 01:09:10",12
"2019-06-11 02:09:15",12
"2019-06-11 02:39:17",12
"2019-06-11 03:09:19",12
"2019-06-11 03:29:21",12
"2019-06-11 04:19:25",12
"2019-06-11 04:59:28",12
"2019-06-11 05:09:29",12
"2019-06-11 05:49:32",12
"2019-06-11 06:19:34",12
"2019-06-11 06:49:36",12
"2019-06-11 06:59:37",12
"2019-06-11 07:09:38",12
"2019-06-11 07:39:40",12
"2019-06-11 08:09:42",12
"2019-06-11 08:19:43",12
"2019-06-11 09:09:47",12
"2019-06-11 09:39:49",12
"2019-06-11 09:49:50",12
"2019-06-11 11:10:06",12
"2019-06-11 14:54:22",12
"2019-06-11 15:04:23",12
"2019-06-11 15:34:39",12
"2019-06-11 15:44:40",12
"2019-06-11 16:44:52",12
"2019-06-11 18:25:04",12
"2019-06-11 18:35:05",12
"2019-06-11 18:55:21",12
"2019-06-11 21:11:44",12
"2019-06-11 21:21:45",12
"2019-06-11 22:01:48",12
"2019-06-11 22:41:51",12
"2019-06-11 23:11:53",12
"2019-06-11 23:21:55",12
"2019-06-11 23:51:57",12
"2019-06-12 00:21:59",12
"2019-06-12 00:52:01",12
"2019-06-12 01:42:06",12
"2019-06-12 02:12:08",12
"2019-06-12 02:22:09",12
"2019-06-12 03:12:16",12
"2019-06-12 03:42:18",12
"2019-06-12 04:12:21",12
"2019-06-12 04:22:22",12
"2019-06-12 04:52:24",12
"2019-06-12 05:32:30",12
"2019-06-12 06:02:32",12
"2019-06-12 06:42:35",12
"2019-06-12 07:22:41",12
"2019-06-12 07:52:44",12
"2019-06-12 08:22:46",12
"2019-06-12 09:12:53",12
"2019-06-12 09:22:55",12
"2019-06-12 11:23:41",12
"2019-06-12 11:33:42",12
"2019-06-12 11:53:53",12
"2019-06-12 14:56:44",12
"2019-06-12 15:06:45",12
"2019-06-12 15:16:46",12
"2019-06-12 16:06:50",12
"2019-06-12 16:26:52",12
"2019-06-12 17:06:56",12
"2019-06-12 17:26:58",12
"2019-06-12 17:47:03",12
"2019-06-12 18:07:08",12
"2019-06-12 18:17:09",12
"2019-06-12 22:57:59",12
"2019-06-12 23:48:03",12
"2019-06-13 00:48:11",12
"2019-06-13 01:58:18",12
"2019-06-13 02:28:21",12
"2019-06-13 02:38:22",12
"2019-06-13 04:58:37",12
"2019-06-13 06:18:48",12
"2019-06-13 07:08:52",12
"2019-06-13 08:08:57",12
"2019-06-13 08:59:07",12
"2019-06-13 09:19:08",12
"2019-06-13 09:29:09",12
"2019-06-13 10:09:12",12
"2019-06-13 11:59:26",12
"2019-06-13 13:59:53",12
"2019-06-13 14:09:54",12
"2019-06-13 14:29:57",12
"2019-06-13 16:00:22",12
"2019-06-13 17:30:31",12
"2019-06-13 18:20:38",12
"2019-06-13 18:40:40",12
"2019-06-13 19:20:43",12
"2019-06-13 20:10:48",12
"2019-06-13 20:50:51",12
"2019-06-13 22:20:59",12
"2019-06-13 22:31:00",12
"2019-06-13 22:41:01",12
"2019-06-13 22:51:02",12
"2019-06-13 23:21:04",12
"2019-06-13 23:31:05",12
"2019-06-14 00:41:11",12
"2019-06-14 01:51:19",12
"2019-06-14 02:01:20",12
"2019-06-14 02:31:22",12
"2019-06-14 03:01:24",12
"2019-06-14 03:51:28",12
"2019-06-14 04:21:30",12
"2019-06-14 05:01:33",12
"2019-06-14 05:41:36",12
"2019-06-14 06:21:39",12
"2019-06-14 06:31:40",12
"2019-06-14 06:41:41",12
